uid,iid
30,504
30,933
31,95
31,4
31,593
31,595
31,614
31,1160
31,1257
31,1291
31,594
32,503
32,520
32,795
32,4
32,810
32,1307
33,30
33,41
33,44
33,46
33,280
33,4
33,334
33,527
33,351
33,693
33,872
33,1015
33,1111
33,846
33,1186
34,4
34,672
34,939
34,1184
34,1190
34,1272
35,5
35,20
35,35
35,41
35,44
35,4
35,65
35,70
35,76
35,83
35,87
35,63
35,116
35,119
35,122
35,128
35,161
35,120
35,220
35,219
36,38
36,4
36,42
36,173
36,264
36,1084
36,1288
36,1437
36,100
37,453
37,652
37,700
37,1001
38,35
38,4
38,57
38,68
38,91
38,194
38,627
39,4
39,151
39,164
39,177
39,200
39,207
39,224
39,95
39,441
39,457
39,476
39,574
39,615
39,718
39,765
39,789
39,817
39,843
39,860
39,861
39,965
39,975
39,987
39,1015
39,1025
39,1095
39,1108
39,1198
39,1248
39,1254
39,1267
39,1289
39,1315
39,1319
39,1327
39,1373
39,263
39,1431
40,44
40,70
40,116
40,219
41,4
41,19
41,26
41,31
41,32
41,43
41,46
41,58
41,72
41,79
41,98
41,30
41,134
41,179
41,252
41,283
41,230
41,351
41,371
41,469
42,30
42,47
42,68
42,76
42,94
43,4
43,252
43,1134
43,1446
44,652
44,749
44,851
44,856
44,1001
44,1310
45,192
45,472
45,522
45,1272
46,4
46,116
46,219
46,70
47,5
47,170
47,38
47,313
47,729
47,758
48,5
48,453
48,889
48,937
48,1001
48,1134
49,68
49,351
49,352
49,976
49,1154
49,1307
49,1354
49,1464
49,1496
50,5
50,35
50,453
50,497
50,737
50,909
50,1057
51,5
51,35
51,68
51,197
51,326
51,552
51,622
51,897
51,477
52,5
52,227
52,317
52,591
52,593
52,594
52,595
52,652
52,928
53,5
53,795
53,1026
53,1236
53,227
54,5
54,20
54,38
54,30
54,45
54,62
54,63
54,64
54,66
54,83
54,92
54,119
54,143
54,161
54,179
54,188
54,189
54,194
54,197
54,229
54,230
54,238
54,243
54,245
54,255
54,322
54,341
54,342
54,346
54,422
54,423
54,430
54,466
54,467
54,469
54,479
54,504
54,506
54,516
54,520
54,523
54,661
54,726
54,729
54,778
54,846
54,990
54,991
54,1074
54,1311
54,1377
54,1499
54,1628
54,39
55,5
55,35
55,69
55,283
55,243
55,596
55,598
55,506
55,650
55,652
55,629
55,1001
55,1045
55,1309
55,1394
55,1570
56,5
56,95
56,124
56,466
56,439
57,5
57,1160
57,1260
57,1347
58,5
58,469
58,952
58,1232
59,5
59,453
59,1001
59,1257
60,5
60,328
60,369
60,1550
60,1555
61,5
61,38
61,35
61,54
61,53
61,73
61,92
61,63
61,105
61,111
62,20
62,5
62,35
62,91
62,118
62,119
62,121
62,153
62,161
62,217
62,36
62,854
63,163
63,5
63,339
63,355
63,434
63,394
63,490
63,520
63,585
63,602
63,623
63,526
63,694
63,706
63,720
63,766
63,867
63,912
63,922
63,952
63,955
63,675
63,974
63,989
63,1015
64,45
64,5
64,77
64,132
64,504
64,1001
65,5
65,371
65,742
65,68
66,5
66,566
66,1352
66,35
67,6
67,16
67,57
67,120
68,5
68,865
68,895
68,1264
68,1583
69,5
69,188
69,548
69,866
70,5
70,37
70,38
70,75
71,5
71,35
71,32
71,54
71,98
71,111
71,177
71,215
71,307
71,469
71,55
71,663
71,885
71,1254
71,1045
71,1361
71,1376
72,348
72,654
72,658
72,1087
73,363
73,608
73,668
73,797
73,1422
74,35
74,5
74,453
74,466
74,539
74,556
74,973
74,1549
75,35
75,73
75,120
75,227
75,506
75,784
75,795
75,1054
75,1236
75,1306
75,1307
75,5
76,5
76,29
76,16
76,31
76,37
76,30
76,57
76,59
76,49
76,73
76,75
76,83
76,88
76,121
76,153
76,179
76,217
76,243
76,252
76,282
76,283
76,351
76,355
76,479
76,95
76,682
76,831
76,885
76,902
76,1001
76,1109
76,1291
77,5
77,361
77,539
77,1057
78,5
78,35
78,57
78,75
78,91
78,121
78,74
78,150
78,252
78,614
78,220
78,843
78,854
78,872
78,902
78,1109
78,786
78,1257
78,1359
78,1544
78,1571
78,1596
78,1604
78,1616
78,1644
78,1647
78,1675
79,349
79,382
79,438
79,1160
80,227
80,407
80,6
80,1221
81,528
81,760
81,1001
81,1288
82,700
82,705
82,6
82,1128
82,1136
83,25
83,78
83,125
83,7
83,906
84,7
84,62
84,59
84,1237
85,25
85,78
85,125
85,561
86,7
86,30
86,65
86,134
86,143
86,478
86,881
87,7
87,78
87,125
87,561
88,25
88,7
88,95
88,77
89,7
89,548
89,560
89,566
89,709
89,866
89,981
89,30
90,25
90,78
90,125
90,561
91,7
91,25
91,88
91,194
92,25
92,78
92,561
92,7
93,7
93,24
93,20
93,26
93,27
93,30
93,45
93,46
93,57
93,59
93,72
93,88
93,99
94,7
94,63
94,64
94,25
94,123
94,245
94,560
94,561
94,562
94,566
94,66
94,650
94,704
94,681
94,822
94,904
94,778
94,1280
94,1357
94,1227
94,1624
94,1435
95,7
95,525
95,632
95,763
95,816
96,7
96,30
96,35
96,46
96,25
96,125
96,78
96,561
97,48
97,7
97,78
97,260
97,561
98,7
98,78
98,125
98,523
98,561
99,25
99,78
99,125
99,7
99,267
99,562
99,568
99,865
99,904
99,905
99,906
100,7
100,416
100,1024
100,823
101,7
101,25
101,78
101,125
101,561
102,7
102,64
102,45
102,123
102,96
102,571
102,340
102,640
102,1090
102,1091
102,1096
102,1100
102,1126
102,1141
102,1148
102,1149
102,1201
102,799
103,7
103,361
103,405
103,358
104,7
104,187
104,217
104,245
104,243
104,1086
105,8
105,283
105,1549
105,677
106,8
106,59
106,64
106,27
106,184
106,264
106,328
106,453
106,632
106,723
106,795
106,961
106,1057
106,1059
106,1160
106,1253
106,1502
106,1557
107,8
107,184
107,228
107,240
108,8
108,49
108,702
108,935
108,1466
109,9
109,8
109,11
109,10
109,315
109,479
109,554
109,260
109,1123
110,9
110,11
110,8
110,306
110,1123
111,422
111,479
111,839
111,885
112,11
112,59
112,8
112,315
112,422
112,565
112,758
112,1597
113,8
113,217
113,315
113,865
113,902
113,153
113,1257
114,184
114,531
114,811
114,1257
114,8
115,9
115,14
115,363
115,499
115,504
115,609
115,698
115,810
115,1499
116,9
116,51
116,114
116,410
116,726
117,9
117,515
117,801
117,10
118,211
118,315
118,371
118,429
118,544
118,994
118,1135
118,1166
118,1363
118,1369
118,1394
118,1403
118,1450
118,10
118,1550
118,1472
119,10
119,353
119,453
119,655
119,690
119,705
119,721
119,758
119,760
119,822
119,999
119,1089
119,1096
119,1114
119,1414
120,38
120,10
120,306
120,422
120,822
120,1123
120,1450
121,818
121,1183
121,1184
121,1288
122,11
122,1001
122,1134
122,1236
122,1595
123,190
123,264
123,320
123,655
123,679
124,12
124,605
124,453
124,1001
125,22
125,480
125,12
125,1061
126,68
126,128
126,220
126,12
126,1536
126,1555
126,1556
126,785
127,25
127,12
127,488
127,369
128,427
128,489
128,822
128,849
128,12
128,1450
129,328
129,376
129,12
129,565
129,494
129,678
130,165
130,380
130,389
130,12
130,449
130,473
130,499
130,578
130,587
130,608
130,609
130,637
130,640
130,779
130,807
130,870
130,935
130,1011
130,1048
130,1061
130,1090
130,1096
130,1102
130,1190
130,1201
130,1422
130,1669
131,165
131,12
131,410
131,518
131,685
131,934
131,395
132,13
132,292
132,306
132,380
132,146
132,702
132,494
133,422
133,13
133,1135
133,1292
133,1396
133,1450
133,1499
133,1549
133,1194
134,68
134,315
134,394
134,439
134,479
134,528
134,649
134,797
134,839
134,898
134,13
134,939
134,1124
134,1386
135,292
135,380
135,701
135,935
135,1257
136,422
136,445
136,479
136,504
136,14
136,729
136,839
136,1123
136,1402
136,1553
137,269
137,277
137,1141
137,14
138,14
138,171
138,291
138,312
138,269
138,388
138,522
138,1077
139,14
139,15
139,295
139,174
139,583
140,14
140,23
140,275
140,278
140,279
140,287
140,295
140,324
140,325
140,331
140,332
140,333
140,397
140,445
140,597
140,1246
141,14
141,269
141,311
141,324
141,885
142,192
142,14
142,407
142,445
142,793
142,794
143,14
143,204
143,295
143,275
143,391
143,331
144,308
144,325
144,14
144,607
144,625
145,14
145,42
145,59
145,100
145,139
145,261
145,15
145,317
145,431
145,445
145,528
145,295
145,632
145,671
145,793
145,794
145,868
145,939
145,1246
145,1437
146,325
146,455
146,459
146,1334
147,14
147,108
147,258
147,287
147,326
147,747
147,868
147,1086
148,14
148,414
148,595
148,1001
149,139
149,269
149,414
149,868
150,15
150,388
150,453
150,652
151,308
151,14
151,445
151,388
152,110
152,226
152,311
152,14
152,361
152,392
152,489
152,700
152,388
153,14
153,123
153,836
153,901
153,916
154,839
154,1538
154,1551
154,1557
155,170
155,226
155,366
155,392
155,445
155,627
155,628
155,687
155,1157
156,104
156,311
156,14
156,868
156,1282
157,445
157,868
157,1077
157,14
158,192
158,226
158,14
158,1077
158,1160
159,269
159,295
159,388
159,607
159,1157
159,1257
160,15
160,396
160,407
160,1163
160,332
161,104
161,138
161,174
161,277
161,15
161,295
161,793
161,278
161,1121
161,1180
161,1184
161,1245
161,1257
162,242
162,266
162,311
162,453
162,652
162,868
162,15
162,1304
162,1557
163,15
163,279
163,291
163,308
163,312
163,313
163,325
163,388
163,392
163,486
163,697
163,1047
163,241
164,198
164,221
164,269
164,299
164,597
164,620
165,15
165,450
165,486
165,1245
166,15
166,257
166,407
166,1167
167,138
167,15
167,139
167,388
167,445
167,277
167,1547
168,15
168,331
168,337
168,811
168,232
168,1082
168,1096
169,15
169,822
169,275
169,1245
170,445
170,597
170,1150
170,1222
171,192
171,227
171,460
171,15
171,740
171,794
171,480
172,15
172,193
172,311
172,356
172,407
172,408
172,474
172,489
172,599
172,607
172,635
172,980
172,1090
172,1096
172,1335
172,1422
173,15
173,445
173,450
173,583
173,877
174,15
174,308
174,403
174,1226
174,1312
175,15
175,257
175,407
175,350
175,1245
176,15
176,472
176,564
176,1245
177,221
177,263
177,494
177,1245
178,192
178,15
178,221
178,445
178,687
179,877
179,1175
179,1389
179,1402
179,1404
179,1441
180,139
180,192
180,221
180,308
180,15
181,311
181,313
181,314
181,610
181,611
181,633
181,15
181,1077
182,174
182,192
182,221
182,356
182,15
183,172
183,388
183,445
183,845
183,946
183,1099
183,1102
184,188
184,15
184,350
184,204
184,471
184,540
184,356
185,264
185,664
185,732
185,967
185,15
185,1190
185,1245
185,1188
186,198
186,204
186,270
186,299
186,308
186,620
186,898
186,1466
187,170
187,15
187,313
187,311
187,314
187,957
187,1295
188,15
188,275
188,331
188,407
188,532
188,1077
188,1245
189,15
189,137
189,388
189,253
190,15
190,64
190,59
190,227
190,320
190,184
190,361
190,504
190,659
190,700
190,737
190,795
190,831
190,902
190,928
191,59
191,204
191,341
191,15
191,471
191,464
191,775
191,819
191,1229
191,1248
191,1539
192,53
192,54
192,92
192,122
192,214
192,215
192,290
192,15
192,388
192,868
192,959
192,1108
192,1206
193,15
193,139
193,868
193,178
194,15
194,100
194,411
194,1057
195,269
195,295
195,15
195,414
195,868
195,1216
196,138
196,170
196,15
196,308
196,313
196,450
197,1165
197,1166
197,1167
197,1169
198,95
198,139
198,15
198,308
198,445
199,138
199,242
199,15
199,999
199,1134
199,1245
199,1291
200,171
200,192
200,221
200,868
200,15
201,204
201,212
201,473
201,15
201,1084
202,198
202,241
202,242
202,295
202,397
202,450
202,522
202,638
202,1164
202,1167
203,172
203,392
203,15
203,445
204,73
204,16
204,133
204,161
204,209
204,322
204,120
204,815
204,1007
205,16
205,52
205,132
205,82
205,153
205,1001
206,51
206,16
206,110
206,232
206,107
206,506
206,811
206,901
206,930
206,932
206,1351
206,1377
206,341
206,1450
206,1396
207,16
207,121
207,373
207,626
207,1372
208,18
208,16
208,86
208,110
209,144
209,223
209,16
209,1181
210,16
210,265
210,266
210,871
210,91
210,1368
211,422
211,479
211,1123
211,16
211,1499
212,140
212,1046
212,1450
212,1516
212,1549
213,16
213,110
213,120
213,209
214,16
214,427
214,1185
214,1257
214,124
215,16
215,95
215,90
215,541
216,16
216,86
216,110
216,64
216,599
216,795
216,951
217,16
217,18
217,110
217,232
218,16
218,57
218,1015
218,1466
219,359
219,1351
219,1377
219,1521
219,1557
220,16
220,18
220,86
220,786
220,110
221,16
221,53
221,68
221,73
221,18
221,103
221,86
221,120
221,194
221,195
221,209
221,214
221,110
221,338
221,560
221,329
221,822
221,901
221,912
221,908
221,1206
222,16
222,18
222,38
222,44
222,37
222,57
222,63
222,65
222,51
222,73
222,74
222,75
222,76
222,86
222,90
222,91
222,95
222,110
222,120
222,121
222,122
222,150
222,161
222,180
222,211
223,351
223,453
223,1085
223,16
223,1392
224,16
224,114
224,902
224,951
225,18
225,114
225,264
225,267
225,373
225,632
226,16
226,86
226,120
226,590
226,640
226,865
226,902
226,1087
227,16
227,86
227,132
227,82
227,232
227,247
227,354
227,202
227,451
227,520
227,555
227,700
227,810
227,822
227,856
227,1123
227,1236
227,1450
228,19
228,16
228,35
228,60
228,117
228,123
228,217
228,218
228,372
228,55
228,1184
228,1257
228,1550
228,1556
228,1557
229,17
229,151
229,186
229,224
229,59
229,371
229,250
229,456
229,806
229,929
229,1486
230,17
230,859
230,1109
230,1257
230,1495
231,99
231,17
231,339
231,351
231,466
231,490
231,631
232,17
232,164
232,469
232,394
232,585
232,602
232,631
232,674
232,952
232,838
232,1285
232,1151
232,1327
232,1619
233,17
233,660
233,812
233,830
233,831
233,839
233,885
233,894
233,1227
233,1404
234,17
234,1285
234,1310
234,1315
234,1327
234,1513
234,490
235,68
235,386
235,824
235,1308
236,17
236,283
236,947
236,969
237,99
237,17
237,151
237,355
237,831
237,860
237,954
237,1066
237,1568
238,99
238,17
238,420
238,466
238,789
238,843
238,867
238,1151
239,17
239,161
239,188
239,232
239,252
240,18
240,422
240,361
240,772
240,1123
240,1357
240,1085
241,18
241,56
241,57
241,319
241,91
241,902
241,1007
241,439
241,1134
241,1255
241,1257
241,1291
241,1392
241,1403
241,1029
241,1617
242,18
242,86
242,1085
242,1549
242,110
243,86
243,18
243,398
243,480
243,786
243,1227
243,1236
244,18
244,143
244,123
244,384
244,822
244,1393
244,1389
244,1398
244,1458
244,1396
245,18
245,86
245,652
245,837
245,1001
245,38
245,1549
245,1555
246,86
246,18
246,232
246,238
246,520
246,577
246,108
246,729
246,810
246,839
246,942
246,726
247,18
247,506
247,811
247,1257
248,18
248,865
248,110
248,1459
248,1562
249,652
249,1004
249,18
249,1257
249,1412
249,1503
249,1134
250,652
250,18
250,1001
250,678
250,1549
251,548
251,18
251,1404
251,1603
252,18
252,86
252,161
252,252
252,283
253,18
253,252
253,110
253,705
253,826
254,176
254,391
254,430
254,510
254,528
254,1001
254,1134
254,1416
255,18
255,188
255,548
255,866
256,78
256,18
256,125
256,110
256,810
256,520
256,822
256,1350
257,18
257,86
257,608
257,110
258,18
258,57
258,59
258,20
259,18
259,184
259,453
259,989
259,1550
260,19
260,58
260,72
260,127
261,19
261,72
261,117
261,153
262,68
262,72
262,124
262,19
263,19
263,115
263,117
263,142
263,188
263,209
263,231
263,352
263,504
263,529
263,548
263,556
263,637
263,652
263,656
263,785
263,867
263,1161
263,1285
263,1539
264,31
264,19
264,47
264,72
264,73
264,37
264,88
264,117
264,169
264,188
264,930
265,95
265,644
265,834
265,19
266,19
266,38
266,73
266,63
266,88
266,117
266,120
266,252
266,118
266,276
266,614
266,1347
267,19
267,117
267,164
267,207
267,303
267,515
267,531
268,72
268,117
268,19
268,1274
269,19
269,150
269,867
269,1351
269,1388
269,1495
270,147
270,19
270,675
270,802
270,1161
271,20
271,30
271,37
271,19
271,46
271,54
271,57
271,42
271,64
271,72
271,73
271,88
271,91
271,58
271,99
271,111
271,95
271,120
271,215
271,220
271,150
271,252
271,276
271,283
271,394
271,531
271,584
271,585
271,602
271,614
271,623
271,631
271,694
271,766
271,224
271,922
271,955
271,939
271,1068
271,1174
271,1198
271,1063
271,1227
271,1284
271,1294
271,1374
271,1567
271,1587
271,1627
272,68
272,83
272,119
272,840
272,888
272,894
272,898
273,83
273,95
273,20
273,119
274,37
274,20
274,88
274,153
274,307
275,20
275,136
275,520
275,568
275,541
275,786
275,810
275,1236
275,1430
276,67
276,20
276,1556
276,1557
276,1549
277,66
277,20
277,119
277,887
278,20
278,25
278,92
278,125
278,119
279,20
279,62
279,65
279,66
279,67
279,42
279,100
280,30
280,20
280,83
280,37
280,119
280,88
280,452
280,688
280,1160
280,1309
281,20
281,83
281,341
281,517
281,498
282,56
282,57
282,91
282,99
282,255
282,452
282,528
282,681
282,682
282,20
282,1052
283,51
283,20
283,68
283,188
283,214
283,726
284,20
284,560
284,568
284,700
284,898
284,1007
284,1065
284,1079
284,1330
284,1386
284,1404
285,30
285,20
285,46
285,95
285,96
285,220
285,45
285,283
285,453
285,652
285,1001
285,1160
286,83
286,119
286,560
286,20
286,568
286,562
286,781
286,902
286,700
286,1065
287,20
287,59
287,64
287,65
287,66
287,52
287,99
287,105
288,20
288,1036
288,1430
288,1617
289,20
289,573
289,695
289,1008
289,1382
289,1383
290,20
290,63
290,82
290,30
290,95
290,132
290,143
290,231
290,322
290,351
290,142
291,49
291,83
291,119
291,20
291,754
291,1132
291,1343
291,1557
292,21
292,406
292,652
292,802
292,1184
292,1595
292,255
293,21
293,935
293,946
293,999
293,1035
293,1137
293,33
294,358
294,21
294,654
294,724
294,652
294,1160
294,1001
294,1557
295,317
295,405
295,439
295,21
296,21
296,59
296,381
296,489
296,678
296,760
297,218
297,700
297,701
297,709
298,21
298,346
298,379
298,123
298,898
298,901
298,904
298,1001
298,1069
298,1134
298,811
298,1386
298,1394
298,1396
298,1450
299,361
299,522
299,21
299,754
299,638
299,935
299,972
299,855
299,1304
299,1458
300,398
300,21
300,399
300,1131
300,1190
300,402
301,264
301,405
301,504
301,735
301,785
302,22
302,696
302,849
302,1005
303,22
303,363
303,1134
303,1236
304,286
304,524
304,647
304,22
304,1620
305,22
305,681
305,1123
305,64
306,51
306,22
306,427
306,1085
306,1549
307,22
307,188
307,284
307,298
307,309
307,548
307,161
308,236
308,252
308,307
308,339
308,371
308,434
308,462
308,674
308,22
308,1257
308,1284
309,108
309,22
309,213
309,210
309,1639
310,189
310,902
310,1166
310,22
311,22
311,1257
311,988
311,1548
312,96
312,22
312,190
312,123
312,346
312,451
312,506
312,520
312,775
312,786
312,822
312,1087
312,1134
312,1227
312,1229
312,1291
312,1386
313,1001
313,1087
313,22
313,1236
314,46
314,318
314,885
314,1257
315,33
315,427
315,470
315,22
315,721
315,786
315,826
315,1257
315,1335
316,524
316,1134
316,1257
316,1549
316,22
317,22
317,56
317,541
317,1236
317,1257
318,22
318,227
318,1049
318,1185
318,381
318,1288
319,22
319,524
319,928
319,316
319,1304
319,1557
320,45
320,1187
320,1257
320,1549
321,191
321,352
321,363
321,378
321,494
321,822
322,281
322,479
322,22
322,822
322,1144
322,1498
323,153
323,155
323,159
323,341
324,23
324,162
324,243
324,581
324,604
324,80
325,23
325,97
325,126
325,80
325,302
325,409
325,162
325,468
325,454
325,581
325,627
325,628
325,637
325,744
325,837
325,868
325,878
325,879
325,882
325,925
325,984
325,1090
325,1201
325,1422
326,23
326,80
326,126
326,581
326,879
326,882
327,80
327,97
327,126
327,162
327,744
327,878
328,97
328,162
328,604
328,680
329,101
329,222
329,454
329,744
329,837
329,1277
330,80
330,97
330,162
330,23
330,680
330,878
330,882
330,1071
331,23
331,680
331,878
331,882
332,23
332,96
332,996
332,1541
332,1571
333,86
333,110
333,520
333,24
333,568
333,652
333,786
333,795
333,808
333,563
333,812
333,815
333,881
333,887
333,901
333,902
333,1007
334,26
334,70
334,79
334,116
334,568
334,836
335,24
335,25
335,27
335,49
335,26
335,79
335,83
335,928
335,1099
335,1102
336,24
336,25
336,27
336,26
336,77
337,25
337,474
337,561
337,700
338,25
338,61
338,215
338,561
338,60
338,568
338,775
339,26
339,142
339,49
339,1265
340,30
340,26
340,95
340,99
341,26
341,46
341,45
341,182
342,675
342,939
342,1173
342,1270
342,1497
342,1567
343,120
343,153
343,26
343,323
343,780
344,26
344,42
344,30
344,92
345,26
345,238
345,568
345,867
346,30
346,92
346,119
346,123
346,27
347,77
347,640
347,650
347,1134
347,1184
347,27
347,1403
347,1450
347,1615
348,495
348,660
348,726
348,1154
348,27
349,27
349,361
349,1236
349,1362
350,77
350,322
350,27
350,815
351,35
351,77
351,902
351,984
351,1415
351,1469
351,1500
352,132
352,265
352,650
352,822
352,871
352,887
352,901
352,1280
352,1348
352,1351
352,1368
352,1425
352,1450
352,1673
353,453
353,27
353,652
353,1437
354,143
354,161
354,201
354,27
354,211
355,27
355,51
355,49
355,267
355,328
355,341
355,359
355,363
355,453
355,504
355,614
355,618
355,648
355,795
355,798
355,153
355,1377
356,77
356,288
356,315
356,27
356,981
357,28
357,340
357,373
357,795
357,1001
358,44
358,28
358,644
358,700
358,539
359,28
359,264
359,190
359,983
360,28
360,1001
360,1057
360,1085
360,1257
361,28
361,56
361,57
361,91
361,481
361,451
361,822
362,28
362,217
362,227
362,265
362,316
362,317
362,735
362,758
362,928
363,28
363,822
363,1160
363,1288
363,1550
364,643
364,28
364,658
364,655
365,330
365,505
365,541
365,665
365,729
366,29
366,73
366,75
366,266
366,267
367,29
367,177
367,283
367,351
367,1284
368,64
368,110
368,123
368,29
369,30
369,778
369,898
369,1229
370,30
370,95
370,88
370,124
371,30
371,37
371,88
371,161
372,88
372,124
372,30
372,693
373,30
373,95
373,68
373,885
374,35
374,59
374,30
374,92
374,94
375,30
375,57
375,105
375,187
375,351
375,342
376,37
376,30
376,65
376,88
376,98
376,439
376,939
377,30
377,267
377,266
377,270
377,358
377,648
377,679
377,688
377,690
377,822
377,906
377,928
377,1160
377,1183
377,1184
377,1190
377,1555
377,1557
378,68
378,95
378,180
378,273
378,30
378,892
378,886
378,910
378,1108
378,894
378,1386
378,1397
378,1507
378,1411
379,30
379,355
379,476
379,631
380,69
380,92
380,105
380,133
381,30
381,38
381,591
381,593
381,1160
381,1375
381,439
382,124
382,30
382,188
382,143
382,202
382,218
382,194
382,362
382,342
382,431
382,438
382,446
382,465
382,364
382,504
382,517
383,30
383,243
383,363
383,95
383,422
383,479
383,490
383,506
383,550
383,441
383,1015
383,660
383,1085
383,1135
383,1257
384,283
384,30
384,598
384,693
385,30
385,59
385,65
385,83
385,87
385,92
385,36
385,128
385,153
385,164
385,179
385,95
385,218
385,245
385,307
385,339
385,217
385,368
385,371
385,341
385,469
385,466
385,490
385,623
385,720
385,851
385,860
385,846
385,912
385,954
385,901
385,964
385,982
385,1015
385,1025
385,1160
385,955
385,1209
385,1454
385,1516
385,1568
385,1577
385,1587
385,1622
386,38
386,39
386,173
386,902
386,1001
387,30
387,351
387,466
387,180
387,1057
388,46
388,57
388,30
388,94
388,220
388,978
388,885
388,1054
389,30
389,865
389,39
389,1565
390,30
390,252
390,371
390,490
390,351
390,753
390,995
390,1250
390,851
390,1284
390,1310
390,1624
391,30
391,37
391,63
391,88
391,99
391,68
391,244
391,252
391,243
391,351
391,355
392,283
392,30
392,489
392,470
392,1187
392,1378
392,1057
393,30
393,111
393,128
393,194
393,252
393,523
393,95
393,883
393,822
393,1160
394,95
394,30
394,1160
394,930
395,30
395,99
395,94
395,164
396,340
396,30
396,587
396,582
396,829
396,885
396,1081
396,1101
396,1195
396,822
396,1287
396,1336
396,1404
396,1446
396,1448
396,1541
396,1586
397,206
397,1058
397,1257
397,30
397,1549
398,726
398,774
398,881
398,885
398,901
398,904
398,930
398,30
398,1086
398,1351
398,1377
398,1396
398,1404
398,1458
398,1541
398,1045
399,30
399,1270
399,1310
399,1291
399,1505
399,1588
399,1606
399,1497
400,30
400,61
400,694
400,796
400,805
400,1558
400,1477
401,30
401,102
401,283
401,355
401,371
401,434
401,452
401,457
401,85
401,464
401,469
401,479
401,465
401,485
401,688
402,45
402,30
402,68
402,48
402,98
402,176
402,260
402,318
402,342
402,379
402,430
402,435
402,446
402,469
402,579
402,612
402,623
402,650
402,1364
402,1390
402,1397
403,95
403,451
403,453
403,30
403,465
403,652
403,716
403,867
403,1001
403,1109
403,1160
403,1237
403,1313
403,1495
403,1541
403,1549
403,1570
403,1604
403,1647
404,30
404,76
404,120
404,57
405,47
405,31
405,1001
405,1107
405,354
406,31
406,453
406,1001
406,47
407,47
407,31
407,349
407,970
408,578
408,604
408,650
408,31
409,470
409,709
409,865
409,970
409,1085
410,31
410,756
410,1001
410,227
410,1184
411,94
411,302
411,409
411,1291
412,31
412,86
412,47
412,453
412,822
413,31
413,47
413,283
413,351
413,453
413,598
413,652
413,778
413,822
413,831
413,832
413,889
413,970
413,161
413,983
413,1057
413,1085
413,1134
413,1227
413,1257
413,1293
413,1317
413,1626
413,1648
414,31
414,412
414,854
414,1152
414,1309
415,47
415,31
415,885
415,901
415,1351
416,47
416,474
416,31
416,669
417,31
417,970
417,47
417,1551
417,1555
417,1556
417,1557
418,31
418,51
418,114
418,592
418,595
418,652
418,795
418,970
418,1001
419,35
419,47
419,31
419,831
419,970
420,31
420,47
420,182
420,143
421,47
421,31
421,970
421,1350
421,889
421,1377
421,1446
421,1495
421,1586
421,1616
422,31
422,697
422,970
422,1115
423,31
423,504
423,970
423,785
423,1184
424,31
424,504
424,785
424,970
424,1288
425,180
425,340
425,970
425,31
425,1184
426,31
426,905
426,47
426,1045
427,31
427,921
427,1057
427,1069
428,363
428,822
428,906
428,1057
428,1087
428,1109
428,1205
429,31
429,47
429,177
429,355
430,47
430,453
